序号,题型,题库分类（大类）,题目分类（小类）,题干,选项A,选项B,选项C,选项D,答案,解释
1,判断题,国职游泳救生员初级,基础常识,1819年英国成立救生协会。,错误,正确,-,-,B,英国皇家救生协会建于1819年
2,判断题,国职游泳救生员初级,基础常识,1990年，国际救生联合会在比利时成立。,错误,正确,-,-,A,1993年2月23日在比利时成立的国际救生联合会；不是1990年
3,判断题,国职游泳救生员初级,基础常识,2007年中国救生协会加入国际救生协会。,错误,正确,-,-,B,中国救生协会于2007年正式加入国际救生联合会
4,判断题,国职游泳救生员初级,基础常识,中国游泳协会成立于2005年1月。,错误,正确,-,-,A,不是游泳协会，是游泳救生协会
5,判断题,国职游泳救生员初级,基础常识,中国救生协会于2005年成立。,错误,正确,-,-,B,2005年，中国救生协会成立
6,判断题,国职游泳救生员初级,基础常识,1979年上海率先成立了我国第一个水上救生组织。,错误,正确,-,-,B,1979年，上海率先成立了我国第一个水上救生组织--上海市游泳救生委员会。
7,判断题,国职游泳救生员初级,基础常识,1991年上海市游泳救生协会正式成立。,错误,正确,-,-,B,1991年，上海市游泳救生协会正式成立
8,判断题,国职游泳救生员初级,基础常识,2007年11月，游泳救生员成为劳动和社会保障部正式向社会发布的新职业之一。,错误,正确,-,-,B,2007年11月，游泳救生员成为当时的劳动和社会保障部正式向社会发布的新职业之一。
9,判断题,国职游泳救生员初级,基础常识,我国在2007年11月将救生员正式纳入国家职业工种。,错误,正确,-,-,B,2007年11月，游泳救生员成为当时的劳动和社会保障部正式向社会发布的新职业之一。
10,判断题,国职游泳救生员初级,基础常识,2008年5月，我国在杭州举办第一批游泳救生员考评员培训班。,错误,正确,-,-,B,2008年5月，国家体育总局职业技能鉴定指导中心在杭州举办了我国第一批游泳救生考评员培训班。
11,判断题,国职游泳救生员初级,基础常识,2008年4月，国家体育总局职业技能鉴定指导中心组织申报的《游泳救生员国家职业标准》通过终审。,错误,正确,-,-,B,教材原话
12,判断题,国职游泳救生员初级,基础常识,2009年5月，在上海举办了首期游泳救生员教师培训班。,错误,正确,-,-,B,教材原话
13,判断题,国职游泳救生员初级,基础常识,游泳救生是指人们在游泳活动中发生意外事故时所采取的救助措施。,错误,正确,-,-,B,教材原话
14,判断题,国职游泳救生员初级,基础常识,游泳救生员按种类，可以分为游泳池救生和自然水域救生。,错误,正确,-,-,B,游泳救生员分为：游泳池救生员和自然水域救生员
15,判断题,国职游泳救生员初级,基础常识,救生是指人们在活动时发生意外事故所采取的救助措施。,错误,正确,-,-,A,不是人们在活动，是人们在游泳活动
16,判断题,国职游泳救生员初级,基础常识,游泳救生是一项拯溺救难的高尚事业，是人道主义精神和精神文明建设的具体体现。,错误,正确,-,-,B,游泳救生职业是一项拯溺救难、挽救生命的高尚事业，是坚持以人为本、努力构建和谐社会的一个重要方面，是人道主义和精神文明建设的具体体现。
17,判断题,国职游泳救生员初级,基础常识,个人救生优于团队救生。,错误,正确,-,-,A,基本原则：团队救生优于个人救生（人多力量大）
18,判断题,国职游泳救生员初级,基础常识,先救意识清醒者的存活率要比先救昏迷者的存活率高。,错误,正确,-,-,A,基本原则：先救有意识后救无意识原则
19,判断题,国职游泳救生员初级,基础常识,游泳救生员的职业性质一般是拯溺救难、救人生命的崇高事业。,错误,正确,-,-,B,职业性质
20,判断题,国职游泳救生员初级,基础常识,游泳救生员工作的宗旨是“齐心协力，拯救生命”。,错误,正确,-,-,A,工作宗旨：是同心协力，拯溺救难
21,判断题,国职游泳救生员初级,基础常识,游泳救生员工作宗旨是“同心协力、拯溺救难”。,错误,正确,-,-,B,工作宗旨
22,判断题,国职游泳救生员初级,基础常识,“同心协力、拯溺救难”是游泳救生工作的指导思想。,错误,正确,-,-,A,是“以防为主，施救准确”
23,判断题,国职游泳救生员初级,基础常识,“同心同德，拯溺救难”是游泳救生工作的指导思想。,错误,正确,-,-,A,是“以防为主，施救准确”
24,判断题,国职游泳救生员初级,基础常识,救生工作的指导思想是以防为主、施救要准。,错误,正确,-,-,B,游泳救生工作的指导思想是”以防为主，施救要准”
25,判断题,国职游泳救生员初级,基础常识,珍惜生命，乐于奉献是游泳救生员做好本职工作的前提。,错误,正确,-,-,B,珍惜生命、乐于奉献是每个游泳救生员做好本职工作和履行其道德义务的前提。
26,判断题,国职游泳救生员初级,基础常识,溺水事故前做好游泳池的防范工作是救生工作的根本。,错误,正确,-,-,B,“以防为主”是指在游泳救生工作中应把一切可能发生的重大游泳事故消灭在萌芽状态。
27,判断题,国职游泳救生员初级,基础常识,游泳救生工作的中心是安全。,错误,正确,-,-,B,游泳救生工作的中心是安全
28,判断题,国职游泳救生员初级,基础常识,游泳救生员的职业守则基本内容有5个方面。,错误,正确,-,-,A,游泳救生员职业守则是游泳救生员必须遵循的行为标准，基本内容有以下7个方面
29,判断题,国职游泳救生员初级,基础常识,游泳救生员职业守则的内容之一是严守岗位，服从指挥。,错误,正确,-,-,B,
30,判断题,国职游泳救生员初级,技能知识,踩水技术对游泳救生员来讲并不重要。,错误,正确,-,-,A,踩水在救助工作起着重要作用
31,判断题,国职游泳救生员初级,技能知识,踩水技术的缺点是施救过程中不便于救生员观察水面情况。,错误,正确,-,-,A,踩水是便于观察水面情况，缺点是移动速度慢
32,判断题,国职游泳救生员初级,技能知识,踩水可以使身体向前、后、左、右方向移动。,错误,正确,-,-,B,
33,判断题,国职游泳救生员初级,技能知识,踩水时身体俯卧于水中，头露出水面。,错误,正确,-,-,A,是直立，不是俯卧
34,判断题,国职游泳救生员初级,技能知识,采用交替蹬水技术踩水时，腿的蹬水路线及回收路线，基本是直线。,错误,正确,-,-,A,不是直线，而是椭圆形
